,SEDOL,HOLDINGS,TICKER,% OF FUNDS*,SUB-INDUSTRY,COUNTRY,SECURITYDEPOSITORYRECEIPTTYPE,MARKET VALUE*,SHARES
,B94Q9V0,T-Mobile US Inc,TMUS,0.16%,Wireless Telecommunication Services,US,---,"$2,416,483,350.71 ","12,253,351"
,2577609,CVS Health Corp,CVS,0.16%,Health Care Services,US,---,"$2,410,084,108.80 ","32,341,440"
,B7VD3F2,Duke Energy Corp,DUK,0.16%,Electric Utilities,US,---,"$2,404,255,612.20 ","19,812,572"
,BK9ZQ96,Trane Technologies PLC,TT,0.16%,Building Products,US,---,"$2,375,951,471.08 ","5,649,226"
,2648806,Northrop Grumman Corp,NOC,0.16%,Aerospace & Defense,US,---,"$2,366,101,067.62 ","3,417,937"
,2567741,Marsh & McLennan Cos Inc,MRSH,0.16%,Insurance Brokers,US,---,"$2,348,537,994.09 ","12,479,611"
,2365161,General Dynamics Corp,GD,0.15%,Aerospace & Defense,US,---,"$2,267,804,765.34 ","6,459,326"
,BKVD2N4,Seagate Technology Holdings PLC,STX,0.15%,"Technology Hardware, Storage & Peripherals",US,---,"$2,262,339,078.85 ","5,549,165"
,BMH4FS1,Constellation Energy Corp,CEG,0.15%,Electric Utilities,US,---,"$2,233,143,128.52 ","7,956,189"
,2692665,PNC Financial Services Group Inc/The,PNC,0.15%,Diversified Banks,US,---,"$2,230,979,358.30 ","9,990,951"
,2736035,US Bancorp,USB,0.15%,Diversified Banks,US,---,"$2,221,809,945.67 ","39,597,397"
,2352118,Freeport-McMoRan Inc,FCX,0.15%,Copper,US,---,"$2,203,293,626.36 ","36,581,332"
,2867719,Synopsys Inc,SNPS,0.15%,Application Software,US,---,"$2,201,065,574.96 ","4,732,304"
,2954699,Western Digital Corp,WDC,0.14%,"Technology Hardware, Storage & Peripherals",US,---,"$2,179,701,732.39 ","8,710,793"
,B7FBFL2,American Tower Corp,AMT,0.14%,Telecom Tower REITs,US,---,"$2,138,266,823.04 ","11,926,968"
,BKLJ8V2,Howmet Aerospace Inc,HWM,0.14%,Aerospace & Defense,US,---,"$2,131,435,643.76 ","10,243,347"
,B1Z77F6,Bank of New York Mellon Corp/The,BK,0.14%,Asset Management & Custody Banks,US,---,"$2,130,309,126.48 ","17,764,419"
,B65LWX6,O'Reilly Automotive Inc,ORLY,0.14%,Automotive Retail,US,---,"$2,116,475,626.33 ","21,506,713"
,2313405,Emerson Electric Co,EMR,0.14%,Electrical Components & Equipment,US,---,"$2,103,437,451.28 ","14,312,993"
,2937667,Waste Management Inc,WM,0.14%,Environmental & Facilities Services,US,---,"$2,098,116,058.08 ","9,440,767"
,2754907,Royal Caribbean Cruises Ltd,RCL,0.14%,"Hotels, Resorts & Cruise Lines",US,---,"$2,097,762,335.80 ","6,461,612"
,2967181,Williams Cos Inc/The,WMB,0.14%,Oil & Gas Storage & Transportation,US,---,"$2,092,490,279.46 ","31,110,471"
,B01ZKD6,CRH PLC,CRH,0.14%,Construction Materials,US,---,"$2,090,304,129.73 ","17,076,253"
,2804211,Sherwin-Williams Co/The,SHW,0.14%,Specialty Chemicals,US,---,"$2,082,978,394.64 ","5,873,501"
,2595708,3M Co,MMM,0.14%,Industrial Conglomerates,US,---,"$2,072,802,347.00 ","13,533,575"
,2302232,Cadence Design Systems Inc,CDNS,0.14%,Application Software,US,---,"$2,055,235,262.08 ","6,934,928"
,BVLZX12,Equinix Inc,EQIX,0.14%,Data Center REITs,US,---,"$2,053,036,746.31 ","2,500,867"
,2224701,Corning Inc,GLW,0.14%,Electronic Components,US,---,"$2,052,053,689.00 ","19,874,612"
,B11FJK3,TransDigm Group Inc,TDG,0.14%,Aerospace & Defense,US,---,"$2,047,791,854.60 ","1,434,490"
,BSNPZV3,SANDISK CORP,SNDK,0.14%,"Technology Hardware, Storage & Peripherals",US,---,"$2,044,063,627.50 ","3,547,182"
,2240202,Cummins Inc,CMI,0.13%,Construction Machinery & Heavy Transportation Equipment,US,---,"$2,035,580,284.32 ","3,516,776"
,2252058,Moody's Corp,MCO,0.13%,Financial Exchanges & Data,US,---,"$2,014,991,503.80 ","3,908,355"
,2517382,United Parcel Service Inc,UPS,0.13%,Air Freight & Logistics,US,---,"$1,999,856,943.78 ","18,827,499"
,BG1FRR1,KKR & Co Inc,KKR,0.13%,Asset Management & Custody Banks,US,---,"$1,997,659,682.56 ","17,483,456"
,B665KZ5,General Motors Co,GM,0.13%,Automobile Manufacturers,US,---,"$1,996,316,028.00 ","23,765,667"
,BP0TQN6,Robinhood Markets Inc,HOOD,0.13%,Investment Banking & Brokerage,US,---,"$1,992,905,819.88 ","20,033,231"
,B4MGBG6,HCA Healthcare Inc,HCA,0.13%,Health Care Facilities,US,---,"$1,987,144,644.82 ","4,069,766"
,BN13P03,DoorDash Inc,DASH,0.13%,Restaurants,US,---,"$1,948,395,118.54 ","9,522,017"
,BSPHGL4,Elevance Health Inc,ELV,0.13%,Managed Health Care,US,---,"$1,927,641,561.92 ","5,575,408"
