etf,holding_name,ticker,weight
VOO,ALLIANT ENERGY CORP,LNT,0.0003
VOO,FORTIVE CORP,FTV,0.0003
VOO,GLOBAL PAYMENTS INC,GPN,0.0003
VOO,HOLOGIC INC,HOLX,0.0003
VOO,WEST PHARMACEUTICAL SERVICES INC,WST,0.0003
VOO,HUNTINGTON INGALLS INDUSTRIES INC,HII,0.0003
VOO,INCYTE CORP,INCY,0.0003
VOO,CDW CORP/DE,CDW,0.0003
VOO,APTIV PLC,APTV,0.0003
VOO,ESSEX PROPERTY TRUST INC,ESS,0.0003
VOO,COOPER COS INC/THE,COO,0.0003
VOO,JACOBS SOLUTIONS INC,J,0.0003
VOO,TRIMBLE INC,TRMB,0.0003
VOO,LAS VEGAS SANDS CORP,LVS,0.0003
VOO,TYLER TECHNOLOGIES INC,TYL,0.0003
VOO,F5 INC,FFIV,0.0003
VOO,LENNOX INTERNATIONAL INC,LII,0.0003
VOO,MID-AMERICA APARTMENT COMMUNITIES INC,MAA,0.0003
VOO,MCCORMICK & CO INC/MD,MKC,0.0003
VOO,TEXTRON INC,TXT,0.0003
VOO,BUNGE GLOBAL SA,BG,0.0003
VOO,MODERNA INC,MRNA,0.0003
VOO,JB HUNT TRANSPORT SERVICES INC,JBHT,0.0003
VOO,BALL CORP,BALL,0.0003
VOO,FOX CORP,FOXA,0.0003
VOO,GARTNER INC,IT,0.0003
VOO,INVITATION HOMES INC,INVH,0.0003
VOO,VIATRIS INC,VTRS,0.0003
VOO,IDEX CORP,IEX,0.0003
VOO,NORDSON CORP,NDSN,0.0002
VOO,SUPER MICRO COMPUTER INC,SMCI,0.0002
VOO,CF INDUSTRIES HOLDINGS INC,CF,0.0002
VOO,AVERY DENNISON CORP,AVY,0.0002
VOO,KIMCO REALTY CORP,KIM,0.0002
VOO,ALLEGION PLC,ALLE,0.0002
VOO,AKAMAI TECHNOLOGIES INC,AKAM,0.0002
VOO,EVEREST GROUP LTD,EG,0.0002
VOO,CLOROX CO/THE,CLX,0.0002
VOO,MASCO CORP,MAS,0.0002
VOO,RALPH LAUREN CORP,RL,0.0002
VOO,GODADDY INC,GDDY,0.0002
VOO,GEN DIGITAL INC,GEN,0.0002
VOO,TKO GROUP HOLDINGS INC,TKO,0.0002
VOO,TRADE DESK INC/THE,TTD,0.0002
VOO,JACK HENRY & ASSOCIATES INC,JKHY,0.0002
VOO,DOMINO'S PIZZA INC,DPZ,0.0002
VOO,BEST BUY CO INC,BBY,0.0002
VOO,BUILDERS FIRSTSOURCE INC,BLDR,0.0002
VOO,LYONDELLBASELL INDUSTRIES NV,LYB,0.0002
VOO,REVVITY INC,RVTY,0.0002
VOO,STANLEY BLACK & DECKER INC,SWK,0.0002
VOO,INVESCO LTD,IVZ,0.0002
VOO,REGENCY CENTERS CORP,REG,0.0002
VOO,HEALTHPEAK PROPERTIES INC,DOC,0.0002
VOO,ASSURANT INC,AIZ,0.0002
VOO,ZEBRA TECHNOLOGIES CORP,ZBRA,0.0002
VOO,HASBRO INC,HAS,0.0002
VOO,HOST HOTELS & RESORTS INC,HST,0.0002
VOO,CAMDEN PROPERTY TRUST,CPT,0.0002
VOO,EPAM SYSTEMS INC,EPAM,0.0002
VOO,SOLVENTUM CORP,SOLV,0.0002
VOO,PINNACLE WEST CAPITAL CORP,PNW,0.0002
VOO,J M SMUCKER CO/THE,SJM,0.0002
VOO,UDR INC,UDR,0.0002
VOO,GLOBE LIFE INC,GL,0.0002
VOO,UNIVERSAL HEALTH SERVICES INC,UHS,0.0002
VOO,DAYFORCE INC,DAY,0.0002
VOO,ALIGN TECHNOLOGY INC,ALGN,0.0002
VOO,AES CORP/THE,AES,0.0002
VOO,CHARLES RIVER LABORATORIES INTERNATIONAL INC,CRL,0.0002
VOO,BAXTER INTERNATIONAL INC,BAX,0.0002
VOO,NEWS CORP,NWSA,0.0002
VOO,NORWEGIAN CRUISE LINE HOLDINGS LTD,NCLH,0.0002
VOO,BIO-TECHNE CORP,TECH,0.0002
VOO,GENERAC HOLDINGS INC,GNRC,0.0002
VOO,FOX CORP,FOX,0.0002
VOO,BXP INC,BXP,0.0002
VOO,FACTSET RESEARCH SYSTEMS INC,FDS,0.0002
VOO,APA CORP,APA,0.0002
VOO,MOLINA HEALTHCARE INC,MOH,0.0002
VOO,WYNN RESORTS LTD,WYNN,0.0002
VOO,CONAGRA BRANDS INC,CAG,0.0001
VOO,MOSAIC CO/THE,MOS,0.0001
VOO,ALEXANDRIA REAL ESTATE EQUITIES INC,ARE,0.0001
VOO,POOL CORP,POOL,0.0001
VOO,A O SMITH CORP,AOS,0.0001
VOO,SKYWORKS SOLUTIONS INC,SWKS,0.0001
VOO,FRANKLIN RESOURCES INC,BEN,0.0001
VOO,MOLSON COORS BEVERAGE CO,TAP,0.0001
VOO,FEDERAL REALTY INVESTMENT TRUST,FRT,0.0001
VOO,HENRY SCHEIN INC,HSIC,0.0001
VOO,MATCH GROUP INC,MTCH,0.0001
VOO,ERIE INDEMNITY CO,ERIE,0.0001
VOO,HORMEL FOODS CORP,HRL,0.0001
VOO,MGM RESORTS INTERNATIONAL,MGM,0.0001
VOO,PAYCOM SOFTWARE INC,PAYC,0.0001
VOO,LAMB WESTON HOLDINGS INC,LW,0.0001
